Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Sports,,2.44,"4,417"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Style & Fashion,,2.74,"1,216"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Technology & Computing,,2.01,"4,864"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Site Visitors,Travel,,1.45,"2,473"
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Arts & Entertainment,,0.86,59
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Business,,1.77,62
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Education,,0.38,10
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Food & Drink,,0.76,36
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Health & Fitness,,1.27,35
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Hobbies & Interests,,1.14,22
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Home & Garden,,1.75,19
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,"Law, Gov't and Politics",,0.3,10
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Personal Finance,,3.77,40
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Religion & Spirituality,,0.41,6
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Shopping,,0.74,35
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Sports,,2.5,37
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Technology & Computing,,1.86,54
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Content Sharers,Travel,,0.47,11
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Engagers,Arts & Entertainment,,1.01,251
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Engagers,Automotive,,0.86,31
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Engagers,Business,,1.92,255
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Engagers,Education,,0.93,83
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Engagers,Family & Parenting,,0.26,22
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Engagers,Food & Drink,,0.93,181
#ADV#Sky#Entertainment##UK#HP#Now TV Box - 13678,Pixel-Firings,Engagers,Health & Fitness,,1.16,125
