Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Site Visitors,Science,,0.97,27
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Site Visitors,Shopping,,1.43,415
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Site Visitors,Society,,1.29,70
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Site Visitors,Sports,,2.28,384
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Site Visitors,Style & Fashion,,1.7,73
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Site Visitors,Technology & Computing,,2,458
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Site Visitors,Travel,,1.48,234
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Engagers,Arts & Entertainment,,0.79,15
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Engagers,Business,,0.7,7
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Engagers,Family & Parenting,,0.23,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Engagers,Food & Drink,,1.33,22
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Engagers,Health & Fitness,,0.58,5
